model,family,learning_rate,max_depth,min_samples_leaf,n_estimators,subsample,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
GradientBoosting trees=100 lr=0.1 depth=3 leaf=25 subsample=0.8,GradientBoostingClassifier,0.1,3,25,100,0.8,0.8033408930797588,0.016100788736928242,0.8296062085420116,0.004496205621423503,0.7146792321756835,0.019134635379818413,0.7491125623898627,0.007111405298344159,0.6642646499074307,0.04293392186963543,0.7244385974155215,0.010023417523546161,0.525752508361204,0.027853729516597994,0.5775919732441471,0.013732752620500246,0.586695838975414,0.031762652502438676,0.6426645795362432,0.010952660613032166,0.8482118240452851,0.011441143365310222,0.8829783283747681,0.002632995297046655,0.6687923629763441,0.019484333138950375,0.744940912635648,0.004811437663500541,0.6970444202423096,0.02762947082519531
GradientBoosting trees=100 lr=0.1 depth=2 leaf=10 subsample=1.0,GradientBoostingClassifier,0.1,2,10,100,1.0,0.8033390018297843,0.011692346298373221,0.8173589874687683,0.0026721326110917846,0.7142510055238093,0.016558071119073512,0.7310029588151428,0.005537277927726769,0.6641390604137343,0.029035575311753853,0.6993038385277024,0.006559109712891987,0.5244147157190635,0.029869048243165337,0.546989966555184,0.01291420372997177,0.5857367430948065,0.02670012058141136,0.6137373904586528,0.008290627434043048,0.8495413496995272,0.011969789822824966,0.8657969073091809,0.0028590014126467357,0.6686614685750626,0.021468177261191122,0.7043944383233429,0.005751626522288879,0.4844325065612793,0.024308443069458008
GradientBoosting trees=200 lr=0.03 depth=2 leaf=10 subsample=0.8,GradientBoostingClassifier,0.03,2,10,200,0.8,0.8060015665853955,0.010453237064521056,0.814119749442305,0.0026887030000105365,0.7139265777770587,0.013715395585465147,0.7238844685255201,0.004553407863479694,0.6758356703238483,0.028491960675246935,0.696140330574934,0.007169852294249883,0.5177257525083612,0.023401813624797176,0.5316053511705685,0.009898761596621243,0.5860720463680722,0.02262215133968716,0.602786717866099,0.007198841984119831,0.8499966763055271,0.012161308555418452,0.8606726867489275,0.0028827194380258024,0.6679153364619651,0.019930191477043564,0.6929374721904098,0.005674769762723672,0.7380217552185059,0.019846343994140626
GradientBoosting trees=200 lr=0.1 depth=2 leaf=10 subsample=1.0,GradientBoostingClassifier,0.1,2,10,200,1.0,0.8035163065148835,0.009725065936439797,0.8253462079789518,0.00230871559520917,0.7167220597836759,0.012578472025294248,0.7432223124589152,0.0045509725645341125,0.6619303942393706,0.026053812106894798,0.7151372279143531,0.006190581251802354,0.5317725752508361,0.022285392975194208,0.5682274247491639,0.010636818658053025,0.5894823780961138,0.020166750264293255,0.6332001452926267,0.006718306687255808,0.8480237762010425,0.011684345975768659,0.8763834343285755,0.00238085673636685,0.667726523630597,0.020843743743900685,0.7291227403788294,0.0040936740690320035,0.9530140399932862,0.020367527008056642
GradientBoosting trees=200 lr=0.03 depth=2 leaf=25 subsample=0.8,GradientBoostingClassifier,0.03,2,25,200,0.8,0.8060010937729019,0.009564559110584892,0.8139866330379502,0.0028834996559078227,0.7134992273497084,0.01242137663862535,0.7237938614581688,0.005009626721757464,0.676547588887825,0.026925510191033404,0.6956583395873913,0.0069459419335132265,0.5163879598662208,0.02183923440443411,0.5316053511705685,0.010607860553280064,0.5854506515555744,0.020388969592075236,0.6026082035724935,0.00791271846897542,0.8499990798177242,0.011930748747789743,0.860426737115078,0.002794118629075789,0.6673813486426303,0.018632704447106897,0.6926096957831623,0.005592291010425841,0.7902330875396728,0.023130226135253906
GradientBoosting trees=100 lr=0.03 depth=3 leaf=10 subsample=0.8,GradientBoostingClassifier,0.03,3,10,100,0.8,0.8004989747849098,0.009440664086659629,0.8137203214796112,0.0034476067314572908,0.6952263737290812,0.012036705876376765,0.7151735706715484,0.008618848899281871,0.6795434045787088,0.029443604693090687,0.7091386605727112,0.003405848632418519,0.47090301003344487,0.020875567270002993,0.5051839464882943,0.019810231565061464,0.5560222886389294,0.020815980936559963,0.5898244483545677,0.013762798370201737,0.8495710050643043,0.011120641076588049,0.8651363685155229,0.002696466882019508,0.6673241959578123,0.017663743461857305,0.7004093485617455,0.0056356201429321375,0.5263590335845947,0.01981663703918457
GradientBoosting trees=100 lr=0.03 depth=3 leaf=25 subsample=0.8,GradientBoostingClassifier,0.03,3,25,100,0.8,0.8015639061246554,0.01057730244887775,0.813187865705895,0.0032834983043958216,0.6961645405864954,0.013073270985213065,0.7142236267552244,0.008001601925685078,0.6829171262902052,0.031160239662900303,0.7082187672570741,0.0038371694181417375,0.47157190635451507,0.01984267153737971,0.5033444816053512,0.01828027684705304,0.5577686456804434,0.022622828449876002,0.5882825309588113,0.012881963479341904,0.8497036509999869,0.011319684291028476,0.864712024193769,0.002655977754754697,0.6671685496872197,0.017302725856085808,0.6990719005301737,0.005277005553892713,0.5577770709991455,0.01622939109802246
GradientBoosting trees=200 lr=0.03 depth=2 leaf=10 subsample=1.0,GradientBoostingClassifier,0.03,2,10,200,1.0,0.8042255252552793,0.010753345802141684,0.8128328623777389,0.0028806703085434114,0.7082316688212803,0.014438577228844668,0.7209789774880775,0.006138171319865198,0.6763120817820216,0.02863181178198967,0.6949685181130941,0.006529176298144139,0.5036789297658862,0.024722031588730858,0.5252508361204014,0.014144033748354856,0.5771267251676666,0.023877577808848173,0.5981892772401108,0.009572164150257759,0.8495065229494339,0.012117082488230081,0.8603175120125158,0.0027313881402571696,0.6669653814706091,0.02207292070519573,0.6920381888746985,0.005181090099937071,0.9001136302947998,0.01624579429626465
GradientBoosting trees=200 lr=0.03 depth=2 leaf=25 subsample=1.0,GradientBoostingClassifier,0.03,2,25,200,1.0,0.8045809226463,0.010655300537414874,0.8123447820200422,0.0029954868221420826,0.708473652827262,0.01360727130687674,0.7197921692676496,0.005881798998268112,0.6778521460379503,0.030483651408484868,0.6946736869611477,0.007551950393597831,0.5036789297658864,0.02332521173801028,0.5225752508361204,0.013388373846988686,0.5776161236210797,0.022573784866826346,0.5963487441507076,0.009212428822720891,0.8494491331736436,0.01210608660921396,0.8602877676383249,0.0027201706379688185,0.6668718501581327,0.021878133366913896,0.6920073317932427,0.005133325615226471,0.854417371749878,0.019327211380004882
GradientBoosting trees=100 lr=0.03 depth=3 leaf=25 subsample=1.0,GradientBoostingClassifier,0.03,3,25,100,1.0,0.8017407379972609,0.00911836187972635,0.8123004558225408,0.0028667471846742804,0.6964992808218716,0.012546118983748104,0.7121774816858235,0.007875143301837709,0.6835211866548632,0.028546414781122534,0.7076186142991522,0.004594933559894251,0.4722408026755853,0.023875007755952842,0.4988294314381271,0.0189236786601116,0.5581640609003199,0.021376331636799757,0.584930007843837,0.012601954127447818,0.8484925348308041,0.010204588570981573,0.8644180429073767,0.0026393577019865103,0.6667954031217224,0.017495505687768843,0.6982991437982307,0.005323688292082653,0.6133295059204101,0.018305492401123048
GradientBoosting trees=100 lr=0.1 depth=3 leaf=10 subsample=0.8,GradientBoostingClassifier,0.1,3,10,100,0.8,0.8045813954587937,0.01106811221796162,0.8298280364035909,0.00416359045448252,0.7165921426475551,0.017250284514173198,0.7494771855489752,0.007706226134940538,0.6659269599211874,0.026370312126377676,0.724815224666128,0.008245275839734488,0.5290969899665552,0.033135695187962076,0.5782608695652174,0.01620089812011088,0.5892829595634825,0.02739600212813625,0.6431856541464196,0.011418604102107835,0.8476113142643042,0.011373595569298057,0.8851124317270266,0.0023070013941109066,0.6667014173230206,0.017432599553356194,0.7496057183469726,0.00527251349918741,0.674988842010498,0.029502201080322265
GradientBoosting trees=200 lr=0.1 depth=2 leaf=25 subsample=1.0,GradientBoostingClassifier,0.1,2,25,200,1.0,0.803694399220805,0.011548199180229332,0.8238375816461391,0.0027425105880176793,0.7157750408118423,0.014568087361627421,0.7409135725806605,0.005818697564714782,0.6640648646672315,0.03158302490310685,0.7121274130435118,0.004974951938958988,0.5284280936454849,0.024938263387701987,0.5642140468227425,0.012957438547030445,0.5881907282147878,0.02359457465710885,0.6295208341065649,0.008598623753423575,0.8477337336731873,0.011295281256017328,0.8753944134031343,0.0026353699825418003,0.6664801012889224,0.01958902145951103,0.7272191502084038,0.0042607305878253395,1.41224102973938,0.03884711265563965
GradientBoosting trees=100 lr=0.03 depth=3 leaf=10 subsample=1.0,GradientBoostingClassifier,0.03,3,10,100,1.0,0.8012078783169766,0.008244901762844141,0.8119454623380882,0.0028965125248170322,0.6957093194791002,0.01267705521808203,0.7118290525899222,0.007863568906812746,0.6819082967086251,0.024025698903024556,0.7064679645042488,0.004642233786031961,0.47090301003344476,0.025241421089114667,0.49849498327759206,0.01884074462468971,0.5567149460494452,0.0215524383234952,0.5843109119773512,0.012577026516251038,0.8482958004463411,0.010335454009334931,0.864617494409541,0.0026336087610434947,0.665776721612633,0.018870856177265,0.6984265359086791,0.005177257097030739,0.6299831390380859,0.017835664749145507
GradientBoosting trees=100 lr=0.1 depth=3 leaf=25 subsample=1.0,GradientBoostingClassifier,0.1,3,25,100,1.0,0.8010319920693585,0.011602032112450984,0.8279200017954917,0.0034897960757299066,0.7135358041067519,0.014893108269778485,0.7465762940295296,0.005555903604490031,0.6564326061125769,0.031570831926811635,0.7210912355241925,0.007795731901339799,0.5270903010033445,0.026805973123095468,0.5732441471571905,0.010741462777760363,0.5842614064152913,0.02391088820902708,0.6386809208842941,0.008557639159297902,0.8476442474121241,0.011516001308812154,0.8837721641955442,0.0026952247517947445,0.6657413352063923,0.020832462061731977,0.7450163871585211,0.004569372747922366,1.120708179473877,0.030428218841552734
GradientBoosting trees=200 lr=0.1 depth=3 leaf=25 subsample=1.0,GradientBoostingClassifier,0.1,3,25,200,1.0,0.8001449958313698,0.012073968390001626,0.8404776637505023,0.004039292988938824,0.7131453225112864,0.013942839544616932,0.7645768195123605,0.007073980328628297,0.653417994765608,0.032470157678219966,0.7471046091104966,0.006815950282130913,0.5277591973244147,0.021088806381852086,0.6028428093645484,0.01387052933332958,0.583658752052896,0.022832230486619302,0.6672123358216677,0.010544417236991828,0.8445730086586416,0.011314252652099585,0.9003020558863086,0.0028793377689773024,0.659803738385057,0.01792628036378073,0.7794958830516437,0.003617356340173115,1.3844371795654298,0.016632938385009767
GradientBoosting trees=200 lr=0.1 depth=3 leaf=10 subsample=1.0,GradientBoostingClassifier,0.1,3,10,200,1.0,0.7989029174106896,0.011807321808382445,0.8478435792178942,0.0032133527073000905,0.7116588862422415,0.014721820104379385,0.7744505003478714,0.006005071743896288,0.6502339165947146,0.0316099171168055,0.7634788054857593,0.005584340254181929,0.525752508361204,0.024430745642474466,0.6180602006688963,0.012451177571228288,0.5811235742160215,0.02411546094662322,0.6830568422026485,0.0086796021036536,0.8449237871240554,0.011072636614108244,0.9053120011945627,0.0023156941842906423,0.6597075785637869,0.019411624809250277,0.7907595823490089,0.004146322268139905,1.3468655109405518,0.022278022766113282
GradientBoosting trees=200 lr=0.1 depth=3 leaf=25 subsample=0.8,GradientBoostingClassifier,0.1,3,25,200,0.8,0.8022754889275194,0.015166152814414486,0.8430512902240801,0.004591901113829516,0.7120316636088677,0.018317018236387282,0.7668624888480803,0.007343064034454633,0.66342632209604,0.0415730642883303,0.7551229469681046,0.008811221176096484,0.5197324414715718,0.028109567076188204,0.6045150501672241,0.013564749023861695,0.5825210979170156,0.030436930405466866,0.6714373676639194,0.011233814376208486,0.8437913831709134,0.011580862010826413,0.9002384712426146,0.0024050238724414408,0.658155463988883,0.019834863977062286,0.7819366756794119,0.004142019073917662,1.6940510272979736,0.03385472297668457
GradientBoosting trees=200 lr=0.1 depth=3 leaf=10 subsample=0.8,GradientBoostingClassifier,0.1,3,10,200,0.8,0.7990792764708015,0.01309983045462057,0.8466897790265719,0.004504471575384086,0.7098568743408659,0.016849635878051522,0.7722765417090494,0.006692188063425456,0.653202391941134,0.03462664150805321,0.7621943485431049,0.009582549336187964,0.5197324414715718,0.028894462965157408,0.6137123745819398,0.011883503681899579,0.5784649311151348,0.02719003832955865,0.6799088816087477,0.010317248326265948,0.8435863998700726,0.011985637316098635,0.905322355554048,0.001903557786613956,0.6581530140526521,0.018338932279417023,0.794149512439511,0.004474207671611489,1.503350305557251,0.034479808807373044
GradientBoosting trees=100 lr=0.03 depth=2 leaf=25 subsample=0.8,GradientBoostingClassifier,0.03,2,25,100,0.8,0.7981900737745093,0.00526257090728469,0.8025382186715764,0.0023135865037116903,0.6819038965929245,0.006702723620557402,0.6894032205015521,0.00765113601007291,0.6906914077298967,0.017915343213211962,0.6998654804787691,0.006198667948479725,0.43411371237458196,0.011852873007805577,0.44832775919732437,0.019554494960844125,0.5330321987420487,0.01218402121842231,0.546221519054971,0.01336885989353507,0.8454601073534267,0.010868172802710626,0.8530312829870874,0.0028930912615893665,0.6555186181897492,0.01504541594505271,0.6723827348920345,0.004664669006237631,0.39608964920043943,0.023815727233886717
GradientBoosting trees=100 lr=0.03 depth=2 leaf=10 subsample=0.8,GradientBoostingClassifier,0.03,2,10,100,0.8,0.7981900737745093,0.00526257090728469,0.8025382186715764,0.0023135865037116903,0.6819038965929245,0.006702723620557402,0.6894032205015521,0.00765113601007291,0.6906914077298967,0.017915343213211962,0.6998654804787691,0.006198667948479725,0.43411371237458196,0.011852873007805577,0.44832775919732437,0.019554494960844125,0.5330321987420487,0.01218402121842231,0.546221519054971,0.01336885989353507,0.8454350318979916,0.010858629901634496,0.8530827620212346,0.0028648316071185455,0.6553851880016781,0.01506879726795838,0.672417772425111,0.004689860371950254,0.413747501373291,0.024580049514770507
GradientBoosting trees=100 lr=0.03 depth=2 leaf=25 subsample=1.0,GradientBoostingClassifier,0.03,2,25,100,1.0,0.7978349915918178,0.0050461884511506325,0.8025826236187068,0.003395752314951323,0.6808076498445038,0.007049955628437457,0.688472057658104,0.009015742528427474,0.6910052797856823,0.01807536679777066,0.7018936363787094,0.007537923456779106,0.43143812709030105,0.01480665125162451,0.4453177257525084,0.021820019307534525,0.5309934774964378,0.012904465178997813,0.5445551832125837,0.015740686785162706,0.8449037672985231,0.011130518011683379,0.8528132433764221,0.002903279013960583,0.6538983865432518,0.0178377249743527,0.6718705438935145,0.005808842970691497,0.43241147994995116,0.019188928604125976
GradientBoosting trees=100 lr=0.03 depth=2 leaf=10 subsample=1.0,GradientBoostingClassifier,0.03,2,10,100,1.0,0.7978349915918178,0.0050461884511506325,0.8025826236187068,0.003395752314951323,0.6808076498445038,0.007049955628437457,0.688472057658104,0.009015742528427474,0.6910052797856823,0.01807536679777066,0.7018936363787094,0.007537923456779106,0.43143812709030105,0.01480665125162451,0.4453177257525084,0.021820019307534525,0.5309934774964378,0.012904465178997813,0.5445551832125837,0.015740686785162706,0.8448799319401148,0.011156371832902554,0.8528437941629792,0.002899369501907585,0.6538479545434879,0.017894034200863607,0.6719546585253771,0.005823933032121204,0.4934652328491211,0.016420698165893553
