model,n_estimators,max_samples,base_max_depth,base_min_samples_leaf,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std
Bagging trees=200 samples=0.632 depth=6 leaf=10,200,0.632,6.0,10,0.7994346738618222,0.012856629852739524,0.8215745043350686,0.002827201909441353,0.7036887479740116,0.013073375861101941,0.7348333107180427,0.007714584038975889,0.6631604998605465,0.03785791175561673,0.7123231543494499,0.008727062454391404,0.4996655518394649,0.017391304347826073,0.55,0.01973244147157193,0.5695784127200075,0.02196320264120471,0.6204387746490996,0.011166346291917713,0.8475749626686347,0.010776129760276284,0.8843067039391004,0.0016874409953166493,0.6660434186907932,0.019177540465325903,0.7310121771673591,0.0031609468032549122
Bagging trees=50 samples=1.0 depth=6 leaf=1,50,1.0,6.0,1,0.8003223005164688,0.01381136062879949,0.8246362505411575,0.001997135065405991,0.7064296569199046,0.0148457922819013,0.7405491226838548,0.008072071101158505,0.6634617547921502,0.04076309703173021,0.7167234283082957,0.00784121972860423,0.5063545150501672,0.022345542593297733,0.561371237458194,0.021672137577688863,0.573870771668623,0.024616303112352095,0.6292473478980911,0.01125783943460828,0.8461597272126481,0.01167472591283422,0.8930514092842504,0.0012826048815374519,0.665885405082866,0.016981063041008212,0.7429397015217712,0.0022633986049471855
Bagging trees=50 samples=0.632 depth=6 leaf=1,50,0.632,6.0,1,0.7987243518922744,0.013935340571094228,0.8244588079393014,0.003262126354566378,0.7021374261556166,0.01255874058390388,0.7403215577255011,0.008237629074251561,0.6629841757836147,0.042198043407567554,0.7160063333489625,0.00468217923456828,0.49632107023411376,0.014126228817353086,0.5610367892976589,0.01928522173021873,0.5672028301971982,0.02127990790364838,0.6289242987732065,0.012042094130989084,0.8463817612370814,0.01092771151126037,0.8924015861969904,0.0015829296665776477,0.6658836544470542,0.018477938022353042,0.7419806145677286,0.002890602179769387
Bagging trees=100 samples=1.0 depth=6 leaf=1,100,1.0,6.0,1,0.7989019717857024,0.012316583212804051,0.8250357080349625,0.0031838170408404845,0.7046080423032214,0.0131845122759333,0.740447130809871,0.007463557556383722,0.6594670662658947,0.035437470429778274,0.7186437266444274,0.009182899753727526,0.5036789297658862,0.018990059620840643,0.5602006688963211,0.01835660401346168,0.5708193529434323,0.021924534448099862,0.629368522772533,0.010905115712836028,0.8462738708420826,0.010217417804214647,0.893373107797194,0.0013661136813610355,0.6655855134403834,0.016847607067690805,0.7442437646983451,0.0021140315852937737
Bagging trees=200 samples=0.632 depth=6 leaf=1,200,0.632,6.0,1,0.7996118209427566,0.012481046429344802,0.8249912440256102,0.0034150187770342296,0.7031684952798459,0.011673318422957903,0.7396156737600116,0.00791420827178859,0.6647835421934645,0.03776001486483823,0.7198374253438234,0.008227795307273189,0.4976588628762542,0.013610026721990496,0.5576923076923077,0.01886744174925531,0.5688613626352941,0.01982980339673869,0.6282519794095455,0.011601243356741824,0.8468364353146732,0.010533287998121045,0.8930097798965809,0.0017011684030690056,0.6654800351141665,0.02104944240512608,0.743468072029698,0.0030742569441900244
Bagging trees=200 samples=0.632 depth=None leaf=10,200,0.632,,10,0.8029839196470927,0.011991525093464392,0.8485980105087443,0.0033539024914863214,0.709523448442275,0.014616207719296219,0.772346656124462,0.006210652980859647,0.669879170942665,0.03496462943306389,0.7720205790839595,0.012349931315246317,0.5103678929765886,0.025170418357494003,0.609866220735786,0.015386432930298923,0.5788794364308848,0.023942501229410898,0.6812219366805942,0.008760870187646328,0.8453539552433108,0.010228178015421417,0.9143532134497978,0.0011076494074344584,0.6647996126385607,0.01958146469812213,0.7996131351443052,0.0019036238357602138
Bagging trees=100 samples=0.632 depth=None leaf=10,100,0.632,,10,0.8031613819363563,0.011610400763461964,0.8487753743609714,0.0019460714959333518,0.7092165788869432,0.01673571038774697,0.7727878871774221,0.004783005525851896,0.6703111883602961,0.030620799174367525,0.7720218945984749,0.011255680663983072,0.5090301003344482,0.03089982464869857,0.6108695652173913,0.014056773032553507,0.5782322277105516,0.02718999927845227,0.6818431868988121,0.005946460945527261,0.8453489528511302,0.010102644397297496,0.9137906673686118,0.00091225070476407,0.6647148191687782,0.01903313092244595,0.7980541023692261,0.0015382377850141555
Bagging trees=100 samples=1.0 depth=6 leaf=10,100,1.0,6.0,10,0.8004996052015677,0.012627414887005093,0.8213082715263589,0.00286885438395609,0.7065496996796613,0.014744479034154679,0.735186293736597,0.008148728548085666,0.6632915696456582,0.0347382951810371,0.710437683370086,0.007411212389212623,0.5063545150501673,0.023035686097287695,0.5516722408026756,0.020490238891293134,0.5739757944929508,0.02438441153321164,0.6207826178730758,0.011900388738849856,0.8464976543850465,0.010239674787395842,0.8862909788412328,0.0013644542542720118,0.6646163766388963,0.017512516854410135,0.733525188559496,0.002460067843142518
Bagging trees=200 samples=1.0 depth=6 leaf=10,200,1.0,6.0,10,0.7997891256278556,0.010736888108733902,0.8212639847036721,0.00327991177945687,0.7045707353590747,0.011096350231244528,0.7350493176074572,0.007739817098712836,0.6629518868870111,0.031219762069255117,0.7104152564304561,0.00813362906277522,0.5016722408026755,0.014956976438125675,0.5513377926421406,0.018655793002268294,0.5709196730534565,0.018632425245874086,0.6206237212571901,0.011486948044406677,0.8465954667327635,0.01033804199775419,0.8866046926563836,0.0014053405814524699,0.6645125827240974,0.01775901997251534,0.7340252396463347,0.0024914078605240563
Bagging trees=100 samples=0.632 depth=6 leaf=1,100,0.632,6.0,1,0.800676909886667,0.011524371843035591,0.8251243702736687,0.003058809599856351,0.7045341586020311,0.01231137901132265,0.7401869953437192,0.007668222081752343,0.6670710388412021,0.03429421786442601,0.7194048265489117,0.006391338090851823,0.4996655518394649,0.018871887598215217,0.5591973244147157,0.01835203333554375,0.5709945878150074,0.02063597114476427,0.6290633133189957,0.011133714082148902,0.8468445587072482,0.010460012890298027,0.8927912592626621,0.001671401432834324,0.6644226262505588,0.02063970182344566,0.7430802486718683,0.0032249702255988085
Bagging trees=200 samples=0.8 depth=None leaf=10,200,0.8,,10,0.8004991323890742,0.011566785605915572,0.8557864538431689,0.002408751099747059,0.7065502838293438,0.015428245006245438,0.7820996278465945,0.004715340854176219,0.6631292986898124,0.03243452776910876,0.7879272194237988,0.011420124863376369,0.5063545150501672,0.028109567076188204,0.6250836120401337,0.012862130115738746,0.5737719732883136,0.02499777844978381,0.6969485725180877,0.006145561652995511,0.8442232680845952,0.009929119200964589,0.9231033160408464,0.000925276031972632,0.6622609042161182,0.019622107735400896,0.8181304421621096,0.0016286710798458096
Bagging trees=50 samples=0.632 depth=None leaf=10,50,0.632,,10,0.8019189883073471,0.009572311627424166,0.848775384204675,0.0017423697157973868,0.7094395443272999,0.012025196952611637,0.7732685378602973,0.004920158658083018,0.6653598489331112,0.029350507040454287,0.7709359507004532,0.010014643817474913,0.5123745819397993,0.023016254895097312,0.6123745819397993,0.014056773032553505,0.5784713086105981,0.0195791734820685,0.6823706742685564,0.0061757516697546104,0.8441524550765939,0.010723109197936802,0.9132177542405403,0.0008303457594477425,0.6619764035572149,0.017494558005647583,0.7964578441157377,0.0011923811002234675
Bagging trees=100 samples=0.8 depth=None leaf=10,100,0.8,,10,0.8003218277039752,0.012538641967098543,0.8562301489411424,0.00264862765089461,0.7068567152724137,0.016380299908228167,0.7834163989308075,0.005739697174626184,0.6619070814743402,0.034190273519357085,0.7872957376374841,0.011428014800463801,0.5076923076923077,0.02833152987899312,0.6282608695652174,0.014971925943544734,0.5742397048278138,0.026688089484198232,0.6986414335887597,0.007424937920498376,0.8434338112791334,0.00985581305654323,0.922796249279618,0.0008142842130786739,0.6601798515852002,0.0198306231904198,0.8172675407077042,0.001381386010885881
