model,family,base_depth,learning_rate,n_estimators,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
AdaBoost depth=2 trees=200 lr=0.03,AdaBoost,2,0.03,200,0.8008535841551078,0.007748376144567007,0.8064875519476852,0.002786490594156507,0.69824598947542,0.007833997976181813,0.7059245390324763,0.005802047329064082,0.6775990344321572,0.030690379570661248,0.6900087775912118,0.00642961092612372,0.47959866220735786,0.01875297092826246,0.49163879598662213,0.01310336991582592,0.5609878716510791,0.013061219124002814,0.574075044221422,0.009462261452772248,0.8453115936461003,0.012193548943574268,0.8510152680910087,0.0033260875514717733,0.6578568738180458,0.017027723873675803,0.6700212601993415,0.005665394456663171,1.1730189323425293,0.06927704811096191
AdaBoost depth=1 trees=100 lr=0.3,AdaBoost,1,0.3,100,0.8029820283971183,0.00921812208210339,0.8055558355542368,0.004188424717814663,0.7018320169744912,0.015781566873014165,0.7061446621292425,0.011503390723273929,0.6813387977338088,0.02796485241391316,0.685233999573462,0.004911841814969154,0.4862876254180602,0.03568422386180371,0.4943143812709031,0.027444115847236297,0.5664846217928814,0.026120595953375937,0.5738861312886689,0.018835227102581002,0.8464665464607748,0.011041484879284098,0.8514074728877092,0.0038076550267942847,0.6576311150185127,0.02131502101789161,0.6681205770321583,0.008440334885163731,0.4387349605560303,0.042755651473999026
AdaBoost depth=2 trees=50 lr=0.1,AdaBoost,2,0.1,50,0.8012077207128121,0.0072312924140468865,0.8053782354531224,0.0030093005297724654,0.6999818014906601,0.007899121255684762,0.7057572146424522,0.007191014911762237,0.6754836384730771,0.023068153924979382,0.6853217196485928,0.010294772707132738,0.48428093645484954,0.01425235836298495,0.49347826086956526,0.018676766356842414,0.5638701784803924,0.01339040105360659,0.5734937556817774,0.01148704707366516,0.8435040386721937,0.013147118100143415,0.8492169492698409,0.002784062868971849,0.6544476718545951,0.016675097385238733,0.6668469898657162,0.005752378870573057,0.27150940895080566,0.03167414665222168
AdaBoost depth=2 trees=50 lr=1.0,AdaBoost,2,1.0,50,0.7994356194868093,0.013135404112041482,0.8010294643706162,0.0020256589587312455,0.7329588933868415,0.014805460691535785,0.7356456163205405,0.00558475929267544,0.6318836226388883,0.03375304576585838,0.6327847011239458,0.004502301078895196,0.5913043478260869,0.03140252734262344,0.5963210702341136,0.014763149467788138,0.6100421930502888,0.02223749281229393,0.6138924259492672,0.00756231999324615,0.8418109609182176,0.012918454111133482,0.8539865468964637,0.002324437286091632,0.6538320249104697,0.025216832439582046,0.6707651848336252,0.008504659423732758,0.302362060546875,0.03289017677307129
AdaBoost depth=1 trees=50 lr=1.0,AdaBoost,1,1.0,50,0.79996627270879,0.010308830675555212,0.8040915551063327,0.004639960856483398,0.7115285309938587,0.01585552491144362,0.7176467715522316,0.006632158103273338,0.6540965586880297,0.025391764264123047,0.6625612656481222,0.011036064141631283,0.523076923076923,0.030986581463278828,0.5334448160535117,0.012208503176216686,0.5808917985362699,0.025081971955917257,0.5909766749441505,0.010577825566456069,0.847203126974741,0.011157668658208024,0.8522992401569797,0.004218731793883228,0.6518380688606906,0.012860997896282946,0.6684819395679703,0.0063510919175053335,0.2995282173156738,0.05159258842468262
AdaBoost depth=1 trees=200 lr=0.1,AdaBoost,1,0.1,200,0.7985445255405429,0.008802134141360921,0.8019172483147088,0.004218722276770269,0.6853515929537168,0.016678711714213687,0.6893539543817604,0.012334328349480088,0.6863944045091148,0.024041315857759548,0.6966274230305167,0.007589877837128951,0.4441471571906355,0.03647785472758791,0.4494983277591974,0.030283722286528238,0.5384434981908872,0.029183955898458614,0.5457498904701008,0.021662792518698022,0.8442684229527376,0.009722758339170133,0.8482799215156092,0.0034242147824192137,0.650085616523915,0.01751817995186573,0.658666763518992,0.006648844523488925,0.7743635654449463,0.06882171630859375
AdaBoost depth=1 trees=50 lr=0.3,AdaBoost,1,0.3,50,0.7985449983530365,0.004873562528307751,0.8012516466055268,0.004017846275946195,0.691975378540228,0.011986442395910752,0.6940817769748509,0.011050872815066148,0.6764258157336147,0.023017041181465466,0.6846317665805772,0.007924915314793854,0.46488294314381273,0.03324354151114161,0.46571906354515047,0.02703139886589992,0.5498444904330833,0.02023257614389739,0.5538280777899047,0.019375605342145556,0.8432143453642575,0.009898686478941054,0.847057538214339,0.0037649283370494663,0.6454834956899553,0.013914463597116233,0.6539694509510235,0.010384816146140827,0.22978711128234863,0.039654779434204104
AdaBoost depth=1 trees=100 lr=0.1,AdaBoost,1,0.1,100,0.7928646290549582,0.009199703339979071,0.7949505245611233,0.0025515981264484996,0.6699492733402622,0.024031600586733207,0.6698708107138339,0.011559962513536233,0.6847047037538943,0.021530214338999754,0.6974911170932425,0.015305636480919756,0.4080267558528428,0.05769594288387379,0.4033444816053512,0.03219487006851633,0.5087885791583336,0.044691897090697395,0.5099577367101746,0.02212426195928278,0.8414144429465595,0.009635762270540228,0.844258097318597,0.0027530110435974955,0.64091326842417,0.012382045735810305,0.647882273198909,0.004584070946777656,0.3713674545288086,0.04144577980041504
AdaBoost depth=2 trees=100 lr=0.03,AdaBoost,2,0.03,100,0.7942863762232053,0.006077809900755034,0.797745890302948,0.0033599935806564894,0.6790332165483315,0.007521808600834092,0.6841119713339127,0.014208093107253773,0.6770007148361917,0.02766245582912775,0.6850297287882666,0.011369836587159527,0.4334448160535117,0.02254488233625782,0.4419732441471572,0.03799189784926534,0.5276623983545413,0.013544809521297699,0.5360007779320358,0.025103175313528844,0.8388577760804224,0.0102403297870351,0.8426633497142795,0.00292594436392914,0.6407681778156199,0.012811605826066797,0.6505014796428289,0.005061383967820387,0.57535719871521,0.04115142822265625
AdaBoost depth=2 trees=50 lr=0.03,AdaBoost,2,0.03,50,0.7967711634812238,0.011238705039469473,0.7988553446093614,0.0025291703293834947,0.7087137383467754,0.013531408768554713,0.7113055079119285,0.007830665103098567,0.646396460178729,0.03165467726567169,0.6501662775389223,0.009168636439048862,0.5210702341137123,0.027611729017458567,0.5247491638795987,0.0219159263216132,0.5762755709401053,0.021467504570181244,0.5803912970436292,0.011579940911800346,0.8226749587397887,0.008029353795834282,0.8264508775811776,0.0054990532374455435,0.6248692024721233,0.01242696010427551,0.6323579867127672,0.005118964451356524,0.33569989204406736,0.03857131004333496
AdaBoost depth=1 trees=200 lr=0.03,AdaBoost,1,0.03,200,0.7740493710805814,0.004422514518525626,0.7773785193455355,0.005978730519224068,0.5975348771061404,0.007501392706626298,0.6034853431592563,0.014397365128328638,0.7524633852428624,0.024128909643112404,0.7641650137274462,0.005183468303315507,0.22140468227424753,0.015164928493317237,0.23294314381270903,0.0323681203645992,0.3418908542910225,0.019183209410940216,0.35581541326079946,0.03786707829204097,0.8340567690141846,0.008390840464059444,0.8354970002567075,0.00208078552490031,0.6157038363227425,0.006919613457557071,0.6194306010921953,0.004685250235813529,0.825147008895874,0.07448840141296387
AdaBoost depth=1 trees=50 lr=0.1,AdaBoost,1,0.1,50,0.7554098417496583,0.0188631802320941,0.7557694832980897,0.017421050802422608,0.5491731698253437,0.044329332702612065,0.5505346776580347,0.041847881686595326,0.4655887559113365,0.3801841326020302,0.46331586825980303,0.37837428525364436,0.10969899665551841,0.09870244630374331,0.11321070234113713,0.09388496612174717,0.1752659470528924,0.15351908428572172,0.18151494663480558,0.14968799673197228,0.831344961565393,0.0076795640857068755,0.833371341772106,0.002929275303998616,0.6068508535539712,0.007569221364181285,0.6110483226701805,0.00764287172643556,0.19178576469421388,0.03292202949523926
AdaBoost depth=1 trees=100 lr=0.03,AdaBoost,1,0.03,100,0.7346467539058252,9.424729039042568e-05,0.7346467852727956,2.3546139112395893e-05,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8185951684647634,0.010555091531615943,0.8201416848289238,0.004566176820628003,0.5610297252241091,0.030065516019104364,0.5651205738614349,0.022465943428465755,0.44040822982788086,0.05265641212463379
AdaBoost depth=1 trees=50 lr=0.03,AdaBoost,1,0.03,50,0.7346467539058252,9.424729039042568e-05,0.7346467852727956,2.3546139112395893e-05,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783716259568064,0.0037585228545982366,0.7836789319800814,0.0009074917537593819,0.4774558049235689,0.00732340921849568,0.477295296008348,0.0018788076004022467,0.25978960990905764,0.055316591262817384
