model,family,colsample_bytree,learning_rate,min_child_samples,n_estimators,num_leaves,reg_lambda,subsample,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
LightGBM native trees=100 lr=0.03 leaves=31 child=10 sub=0.8 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.03,10,100,31,1.0,0.8,0.802273597677545,0.013320088047806457,0.8445598673383747,0.0020516810034933203,0.7069031664058214,0.018270610299158677,0.7659130100042638,0.0041620830711782695,0.6696676283537634,0.03418129062799072,0.7647535540869213,0.005514459008470999,0.5036789297658862,0.031274032715882145,0.5983277591973244,0.009600468290573474,0.5746189194450981,0.030015351422878644,0.6713210101748868,0.005916648171859864,0.8473111765944858,0.00976361037856383,0.906823604598998,0.0011988516156774846,0.6611766251437452,0.021718726680003495,0.7839305176084868,0.0029023316052357775,0.1702890396118164,0.07611184120178223
LightGBM native trees=100 lr=0.1 leaves=15 child=10 sub=1.0 col=1.0 l2=0.0,LightGBM native categorical,1.0,0.1,10,100,15,0.0,1.0,0.8045810802504645,0.01188248738116739,0.8547216604201804,0.00378713021594608,0.7176605187159313,0.017908471705356272,0.7873035836761823,0.006858854027164123,0.6647005840519787,0.028792279617406668,0.7710437707685405,0.007056871690256305,0.5324414715719062,0.034002046895354715,0.6436454849498328,0.014074665827759727,0.5908209738992898,0.028314941724741586,0.7015347070697905,0.009763547355986784,0.8445424736504046,0.008488932567686904,0.9257024374302203,0.0021861056484423144,0.6609011431070855,0.020107418017363602,0.8146403632001935,0.0035637333874136362,0.11402544975280762,0.06432762145996093
LightGBM native trees=100 lr=0.1 leaves=15 child=10 sub=0.8 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.1,10,100,15,1.0,0.8,0.8035164641190479,0.009342312365063795,0.8540558716806294,0.002893917224714335,0.7156536837152998,0.011534891610626442,0.7854617871174998,0.006219820526856867,0.6632316978353133,0.025334771707841458,0.7715810755305643,0.005031130562984213,0.5284280936454848,0.019154275669934908,0.6392976588628763,0.013866496616473496,0.5880089398909906,0.018754231052774618,0.6991475279749717,0.008423899109281856,0.8426763225046244,0.011850800190698478,0.9190993894649871,0.0016926485538088568,0.6604180629231218,0.020301160870325557,0.8043395305848466,0.003709974430404307,0.12525486946105957,0.07549500465393066
LightGBM native trees=100 lr=0.03 leaves=31 child=25 sub=1.0 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.03,25,100,31,1.0,1.0,0.8042266284844309,0.011081697129881884,0.8394124962667753,0.002527366735662057,0.7084460742220587,0.015075879240776083,0.7571754606195962,0.0036688068976837235,0.676410152721406,0.03214792505138796,0.7567123198331998,0.006504171344249955,0.5043478260869565,0.027853729516597994,0.5819397993311037,0.006833717973813593,0.5773864417450875,0.024936661429231392,0.6578957262004831,0.005810716415483838,0.8467574749815432,0.010034124401969692,0.901323966616574,0.001338293408084184,0.6600015348416827,0.02344132189907114,0.772247396472124,0.004583219152489927,0.15343914031982422,0.0672079086303711
LightGBM native trees=100 lr=0.03 leaves=31 child=25 sub=1.0 col=0.8 l2=0.0,LightGBM native categorical,0.8,0.03,25,100,31,0.0,1.0,0.8017418412264126,0.012124309957518814,0.8432286934511218,0.0028733819088779893,0.7054724714968656,0.014982741285066046,0.7628171787486752,0.004548387675055637,0.6695040958988917,0.03289607830352754,0.764490434566498,0.0077876424954028516,0.5003344481605352,0.0225448823362578,0.5914715719063546,0.00930463394196893,0.5725489301156051,0.025126011304624666,0.6668916267781536,0.0069328130919392925,0.8460640668411028,0.010304392894959638,0.9055477231141879,0.0009461512479297773,0.6599061793551355,0.022468973935940714,0.7820080604043123,0.0030854115061337162,0.19275641441345215,0.07011985778808594
LightGBM native trees=100 lr=0.03 leaves=31 child=10 sub=1.0 col=1.0 l2=0.0,LightGBM native categorical,1.0,0.03,10,100,31,0.0,1.0,0.8020956625757879,0.01043090446318712,0.8492189907093156,0.00283846208209244,0.7063548969941904,0.015465281791787081,0.7718080874299277,0.004305371714869546,0.6696745004080193,0.02679493505311442,0.7762822571829533,0.010155900473322259,0.5023411371237458,0.029263736259835908,0.6068561872909699,0.010080713627492672,0.5736792189100239,0.02493259440935586,0.6810930696269295,0.006344192481050958,0.844565703368674,0.010524999034900194,0.9130061537446302,0.0011144717360478153,0.6597843338770324,0.026334593715594753,0.7961384863416633,0.0026886110065827184,0.15748238563537598,0.08920197486877442
LightGBM native trees=200 lr=0.03 leaves=31 child=10 sub=0.8 col=0.8 l2=0.0,LightGBM native categorical,0.8,0.03,10,200,31,0.0,0.8,0.8008538993634368,0.011586528269609878,0.874467627897765,0.002043067539568278,0.7093554941749043,0.013766607291654716,0.8128137191142752,0.005327445041295218,0.6610839341857726,0.032668748507518434,0.8152708370439676,0.005622350302697379,0.51438127090301,0.02291885177125325,0.681438127090301,0.012953121559222137,0.578205946169067,0.022504740795629835,0.7422650830755739,0.006418089978125503,0.844136142354816,0.009431002542927506,0.9448698238033784,0.0007643209204685123,0.6594869921616187,0.02052373794116811,0.8556506570374733,0.0019507040261614727,0.24365854263305664,0.06561555862426757
LightGBM native trees=100 lr=0.1 leaves=15 child=25 sub=0.8 col=0.8 l2=1.0,LightGBM native categorical,0.8,0.1,25,100,15,1.0,0.8,0.7983697425220765,0.01219472118126905,0.8492191875833885,0.002263048340271721,0.7085195198109872,0.014706895712737512,0.777683426280494,0.0053594663233726,0.652504858758499,0.03533112444593193,0.7637306976751921,0.004275041337053847,0.517056856187291,0.026044043256096015,0.6252508361204013,0.01245117757122827,0.5764045284583883,0.023858846574256673,0.6875055369714301,0.007205498617303406,0.8439527975016212,0.012616582276015535,0.9138778795804997,0.0012571673923698911,0.6592700342757313,0.0224869199406388,0.7942983000625098,0.00429864511264266,0.11751551628112793,0.06937212944030761
LightGBM native trees=100 lr=0.1 leaves=15 child=25 sub=1.0 col=1.0 l2=0.0,LightGBM native categorical,1.0,0.1,25,100,15,0.0,1.0,0.8028069301703228,0.010460489351491322,0.8503286911083203,0.0038771120155703443,0.7134619204055616,0.013958544926704277,0.7811624520294895,0.006632051676443586,0.6635301873797717,0.029866767162743547,0.7621210574041664,0.007640092458320792,0.5230769230769231,0.026470045401216544,0.6337792642140468,0.013209643918482599,0.5845376085810196,0.02255941018341255,0.691989920971127,0.009687883885599914,0.8441922588210558,0.010531308973986322,0.9203677977051938,0.0018585677796613745,0.6588683654922226,0.025431662110221583,0.8030299044436902,0.003459404938210993,0.1258871078491211,0.07474679946899414
LightGBM native trees=100 lr=0.03 leaves=31 child=25 sub=1.0 col=1.0 l2=1.0,LightGBM native categorical,1.0,0.03,25,100,31,1.0,1.0,0.7992568963642295,0.01148121672923559,0.8406993538002308,0.0032443570981400857,0.703140770637222,0.014556582910569962,0.7600275419726886,0.004849020546954682,0.6624064362756524,0.03256957737827074,0.7574549056295471,0.009852353523736626,0.4983277591973244,0.02475820136899229,0.5881270903010034,0.01023487876127047,0.5684304294476181,0.02400066321118928,0.6620581516497623,0.007426248709388493,0.8446545424739436,0.009133774584143498,0.9019179615600985,0.001516389647221997,0.6588282778979896,0.02186100547261677,0.7741993352285887,0.002662799089453805,0.16270947456359863,0.07539925575256348
