model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,variant_source,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha
Tree gini depth=5 split=25 leaf=1,767,728,447,3692,0.7914447994320198,0.7025231887559482,0.6317957166392092,0.5130434782608696,0.8920028992510268,0.5662606127722407,0.8286360025889633,0.6228140608198298,0.2154774582889599,0.2653532126375577,prepruned_grid,gini,5.0,25,1,0.0
Tree gini depth=5 split=25 leaf=10,769,726,451,3688,0.791089811856585,0.7027088765725487,0.6303278688524591,0.51438127090301,0.8910364822420874,0.5664825046040516,0.8289044338016469,0.6257741513761714,0.21654242101526447,0.2653532126375577,prepruned_grid,gini,5.0,25,10,0.0
Tree gini depth=6 split=2 leaf=1,770,725,459,3680,0.789847355342563,0.7020769077241444,0.6265256305939788,0.5150501672240803,0.8891036482242087,0.5653450807635829,0.824049319589095,0.6157519895892443,0.21813986510472133,0.2653532126375577,prepruned_grid,gini,6.0,2,1,0.0
Tree gini depth=6 split=10 leaf=1,770,725,459,3680,0.789847355342563,0.7020769077241444,0.6265256305939788,0.5150501672240803,0.8891036482242087,0.5653450807635829,0.8243002163125697,0.6182644304061008,0.21813986510472133,0.2653532126375577,prepruned_grid,gini,6.0,10,1,0.0
Tree gini depth=6 split=25 leaf=1,770,725,456,3683,0.7903798367057153,0.7024393141024967,0.6280587275693311,0.5150501672240803,0.8898284609809133,0.5659683939728041,0.8253568914986817,0.6225894814532461,0.21760738374156904,0.2653532126375577,prepruned_grid,gini,6.0,25,1,0.0
Tree gini depth=6 split=25 leaf=10,769,726,463,3676,0.7889598864039759,0.7012592510591398,0.6241883116883117,0.51438127090301,0.8881372312152694,0.563989732306564,0.823687398035329,0.6284711600442233,0.21867234646787362,0.2653532126375577,prepruned_grid,gini,6.0,25,10,0.0
Tree gini depth=None split=2 leaf=1,723,772,777,3362,0.7250621228257011,0.6479427680736546,0.482,0.4836120401337793,0.8122734960135298,0.48280467445742903,0.6481083356699185,0.37057074790766326,0.26624068157614483,0.2653532126375577,prepruned_grid,gini,,2,1,0.0
Tree gini depth=None split=10 leaf=1,684,811,649,3490,0.7408590699325523,0.6503619619558147,0.5131282820705176,0.45752508361204014,0.8431988402995892,0.4837340876944837,0.7169170650982053,0.4532667335024072,0.23659921902733405,0.2653532126375577,prepruned_grid,gini,,10,1,0.0
Tree gini depth=None split=25 leaf=1,749,746,550,3589,0.7699680511182109,0.6840605028762219,0.5765973826020016,0.5010033444816053,0.8671176612708383,0.5361488904795991,0.7691802666696834,0.5336264340282921,0.23056443024494142,0.2653532126375577,prepruned_grid,gini,,25,1,0.0
Tree gini depth=None split=25 leaf=10,719,776,493,3646,0.7747603833865815,0.6809127792488613,0.5932343234323433,0.4809364548494983,0.8808891036482243,0.5312153675655708,0.7900019473787556,0.5809137368031138,0.21512247071352503,0.2653532126375577,prepruned_grid,gini,,25,10,0.0
