model,family,l2_regularization,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
HistGradientBoosting iter=100 lr=0.03 leaves=31 min_leaf=25 l2=0.0,HistGradientBoostingClassifier,0.0,0.03,100,31,25,0.8004991323890742,0.010556069142187903,0.8424743310661972,0.003038652630781134,0.7039863273026619,0.014691055764734123,0.763104920441877,0.003315330059400025,0.6663894623872336,0.030175262441577776,0.7601343617610192,0.010967451434451204,0.4983277591973244,0.02741659067815277,0.593979933110368,0.006906982082964328,0.5698187587590622,0.024400857386103307,0.6667958677854584,0.005466977544565249,0.8445124197353427,0.008190788048836835,0.9058715913784028,0.0010559090731106864,0.6594868303601163,0.020396869199756893,0.780205923837713,0.0036530634414978515,0.5272985458374023,0.07194228172302246
HistGradientBoosting iter=100 lr=0.1 leaves=15 min_leaf=10 l2=0.0,HistGradientBoostingClassifier,0.0,0.1,100,15,10,0.8031620123530144,0.01018445926023361,0.8528578929473604,0.0029854611166678174,0.7162669847137014,0.014992611567332184,0.7850203280878205,0.005719671966124453,0.6610610393183757,0.02692553491611339,0.7666323939252836,0.005570116496574092,0.5311036789297658,0.029567941277993753,0.6404682274247492,0.012162606385262993,0.5885536399956931,0.02396938349393964,0.6978323031681599,0.007993832886093793,0.844248374310457,0.00937134546357908,0.925656966276471,0.0026906263720863546,0.6591475466101869,0.0202435057660802,0.8120308292066583,0.005133066760190835,0.3411561012268066,0.06468935012817383
HistGradientBoosting iter=100 lr=0.1 leaves=15 min_leaf=25 l2=0.0,HistGradientBoostingClassifier,0.0,0.1,100,15,25,0.7997886528153619,0.01159075491353819,0.8471336808423219,0.0027523580141558517,0.7096983563375971,0.016625576361024214,0.7755696534955888,0.004304369258222256,0.655487567128434,0.028259939035182823,0.7578983547918842,0.008572160680844905,0.5177257525083612,0.029567941277993753,0.6230769230769231,0.00967012193632172,0.5782590525077224,0.026933534326293303,0.6838342302648007,0.00626541171840044,0.844318610006648,0.010684293887590762,0.9199073048153421,0.0018005834438471855,0.6585511271504182,0.021637226471071313,0.800317219279313,0.004552167844290321,0.3053560733795166,0.05690388679504395
HistGradientBoosting iter=100 lr=0.03 leaves=31 min_leaf=10 l2=1.0,HistGradientBoostingClassifier,1.0,0.03,100,31,10,0.7997894408361846,0.011317371393485716,0.8460684936711876,0.0028986548044506906,0.703289560301547,0.015127295801300435,0.768114903156612,0.0044310940169532565,0.6643639855579128,0.03216043756076864,0.767895045470902,0.009325580059846836,0.4976588628762541,0.026955774822220578,0.6020066889632106,0.009807945350244271,0.5686733833145159,0.025072723230431932,0.6748268585877224,0.006624450948741318,0.8447435193135027,0.009290164678057971,0.906331814317895,0.0012035381326087852,0.6582101690869551,0.023462912614593,0.7828428616709636,0.004365907084796573,0.5356359481811523,0.08177738189697266
HistGradientBoosting iter=100 lr=0.1 leaves=15 min_leaf=10 l2=1.0,HistGradientBoostingClassifier,1.0,0.1,100,15,10,0.8015653245621361,0.01207184424909902,0.8493967187785776,0.0025034871926726586,0.7130432760552102,0.016599789479985364,0.7786587997722982,0.0057082977630001,0.6585334213723358,0.030375221285799496,0.7626304758868381,0.004466516682176332,0.5244147157190635,0.028801404871720362,0.6279264214046822,0.013028462328282574,0.583610807294131,0.027052982701094394,0.6886692586261481,0.007736968252158981,0.8458428230793672,0.009440155699566802,0.9168264389351922,0.0017637183710581034,0.6578067605815578,0.019646641385515907,0.7985226295599726,0.0031755999193142904,0.3409018039703369,0.0725494384765625
HistGradientBoosting iter=100 lr=0.03 leaves=31 min_leaf=25 l2=1.0,HistGradientBoostingClassifier,1.0,0.03,100,31,25,0.8010323072776876,0.012257541734690132,0.8414537850910808,0.003044730618043469,0.7054171682490382,0.015872045061792375,0.7615557842618005,0.0042092445659617506,0.6667910932652042,0.03474237445408774,0.7580738154163793,0.00888800981451639,0.5016722408026756,0.027005524064463344,0.591304347826087,0.008233132859592759,0.5722145361704668,0.026529430809297167,0.6643366280744523,0.006617807630795319,0.8445441953290258,0.009262965597863658,0.9029109527191693,0.0012922719586488808,0.6571447042781664,0.024639782084336467,0.7746658838773988,0.00424464660301025,0.47272353172302245,0.06400489807128906
HistGradientBoosting iter=200 lr=0.03 leaves=31 min_leaf=10 l2=0.0,HistGradientBoostingClassifier,0.0,0.03,200,31,10,0.7994342010493286,0.011776575886858197,0.871805221061037,0.0012546828079430664,0.7096707777323938,0.01580830640941599,0.8092391037790432,0.004753212774234164,0.6544275680162163,0.030335036865805846,0.8097811306645394,0.008630116844834486,0.5183946488294314,0.02733487189525423,0.6759197324414715,0.013498619445224477,0.5782362206502507,0.025640370131049608,0.736658329372781,0.004984863019036777,0.8420659202757592,0.009180067219372817,0.9447781805475266,0.0014225681493262054,0.6567537974236128,0.02013692819324723,0.8547628818797113,0.0034817865425245792,1.1844870090484618,0.09367494583129883
HistGradientBoosting iter=200 lr=0.03 leaves=31 min_leaf=10 l2=1.0,HistGradientBoostingClassifier,1.0,0.03,200,31,10,0.7997899136486782,0.011854084518930314,0.8651492630314394,0.002249719977646149,0.7079896848152986,0.015133015947596308,0.8007566799844353,0.005278123076057172,0.6580587485412669,0.03186795374874122,0.7946883973848671,0.010419128086060363,0.5123745819397993,0.024974120003470844,0.6635451505016723,0.014322818130678197,0.5758964848640781,0.024882911308850644,0.7230366258334913,0.006233537263211397,0.8438117033744179,0.00847154240192514,0.9342822130634809,0.0012132093345869153,0.6553122410410809,0.023591247629654522,0.8356899987344131,0.004267691857836768,0.982485008239746,0.09169125556945801
HistGradientBoosting iter=200 lr=0.03 leaves=31 min_leaf=25 l2=1.0,HistGradientBoostingClassifier,1.0,0.03,200,31,25,0.8001451534355345,0.012175719073365341,0.860001813210211,0.0020259916515477264,0.7099407784558408,0.01545087730449632,0.7930872148579429,0.0034196148847036394,0.657177504889754,0.033408030190169614,0.7853586029698933,0.010847122492112502,0.5177257525083612,0.02594076177881646,0.6505016722408026,0.010681417674027657,0.5788581195160167,0.025527160955938002,0.7114542194825468,0.00405379258054013,0.8433259917049574,0.009481040434817716,0.9296549666851932,0.0010592882760624743,0.6548409750878585,0.023282740590630794,0.8241115375775818,0.003737427979770132,0.9784052848815918,0.10456805229187012
HistGradientBoosting iter=200 lr=0.03 leaves=31 min_leaf=25 l2=0.0,HistGradientBoostingClassifier,0.0,0.03,200,31,25,0.7999672183337773,0.01111655622544283,0.8610667739761613,0.001457492663223487,0.7093920709319479,0.01529462266509421,0.7944529693708157,0.0022958001123040317,0.6566752963484002,0.02835539208689135,0.7877330482870043,0.009844403834203135,0.5163879598662207,0.02647004540121654,0.6525083612040132,0.008682779254680396,0.5779242574709527,0.025156757301645204,0.7136600416845241,0.0021969730433817588,0.8425330685865381,0.008755195740035736,0.9360565890299893,0.00098629645517352,0.6543158169093237,0.022703545180235228,0.834053548764339,0.002777643978925097,1.1093936920166017,0.08955140113830566
HistGradientBoosting iter=200 lr=0.1 leaves=15 min_leaf=10 l2=1.0,HistGradientBoostingClassifier,1.0,0.1,200,15,10,0.7990800644916242,0.011610524876857316,0.8766864577609631,0.003749365618183787,0.7128471590329537,0.015035872113996708,0.8190240076741594,0.006916719972963052,0.6491207358007064,0.028225553643172842,0.8124580202726508,0.009890455452049701,0.5290969899665552,0.0239685255748079,0.6961538461538461,0.015422738863102092,0.5828650687932153,0.02432189741851916,0.7496841371937113,0.009114187355032987,0.8410725869279687,0.00847016950315595,0.9463888966629712,0.0021498584051035576,0.6509321285161317,0.018509863994745957,0.8601788760056579,0.005346026502382584,0.6638669013977051,0.08375258445739746
HistGradientBoosting iter=100 lr=0.1 leaves=31 min_leaf=25 l2=0.0,HistGradientBoostingClassifier,0.0,0.1,100,31,25,0.7964167117151904,0.010997568794612072,0.892216859153729,0.0010197744106390484,0.706121473027787,0.015787346665953092,0.844175466287448,0.0035852135543155282,0.6466802656642228,0.02735191464364394,0.8337700099379927,0.0052172662496189365,0.5137123745819399,0.02873919874105795,0.7418060200668897,0.009597555085138317,0.5722833781303251,0.025472066291744814,0.7850364329602391,0.003454563905180391,0.8372950096170768,0.00906120608933165,0.9604246512958377,0.0008668373639793446,0.6497419188751765,0.022375237747050233,0.8873539484087539,0.0017240301746892376,0.4950417518615723,0.07614774703979492
HistGradientBoosting iter=200 lr=0.1 leaves=15 min_leaf=25 l2=1.0,HistGradientBoostingClassifier,1.0,0.1,200,15,25,0.7965938587961248,0.010136291305434579,0.8716277686154772,0.002480969753075146,0.7098737023451812,0.01473563574820425,0.8123764492444977,0.004284349866490037,0.6430195982153682,0.024219308709149658,0.8017639075049271,0.01047671711359671,0.5250836120401338,0.027005524064463327,0.6861204013377927,0.011336756693430287,0.5778639078744483,0.02368646265068714,0.7393200781778582,0.005382150092752699,0.8387526437901538,0.008625297754337343,0.9434131215313899,0.0013942074951478892,0.6488854642515276,0.01999180364184245,0.8514432099429043,0.004198917643656475,0.8211432456970215,0.11423487663269043
HistGradientBoosting iter=100 lr=0.1 leaves=31 min_leaf=10 l2=1.0,HistGradientBoostingClassifier,1.0,0.1,100,31,10,0.7980146603393848,0.01333335235754894,0.8892440508100483,0.0024761476889439025,0.7089185614460312,0.016024974407513177,0.8371848351625903,0.00436911175310995,0.6504596418513204,0.036124019172023736,0.835087540266598,0.010237809734278184,0.5190635451505017,0.02628345512292774,0.7262541806020067,0.011162755363397073,0.5769660499094835,0.025903006358374236,0.7767620985303808,0.00534512043217204,0.8387881352791418,0.00802331854735098,0.9573225290874872,0.0008544205459754855,0.6481451344635067,0.02044353982640715,0.8853125013195002,0.0034223356579542955,0.5990567684173584,0.077732515335083
HistGradientBoosting iter=100 lr=0.1 leaves=31 min_leaf=25 l2=1.0,HistGradientBoostingClassifier,1.0,0.1,100,31,25,0.794465099345785,0.011998023672080983,0.8835641255276963,0.0017571441653037956,0.7032978282662841,0.01560605879733056,0.8293132620104308,0.003571407534472063,0.6429980001884894,0.032979050266157856,0.8241459716441832,0.009331247043334833,0.5090301003344482,0.027933930458623527,0.7137123745819398,0.01026216454352259,0.5677941592649274,0.025464721115247686,0.7648545975828993,0.0038887937377651014,0.8373552244110642,0.009282474920678092,0.9533367521804872,0.0009729283344161523,0.646851286730266,0.023222242467126102,0.8726045929338483,0.0029489570366090932,0.5716858863830566,0.09354829788208008
HistGradientBoosting iter=100 lr=0.1 leaves=31 min_leaf=10 l2=0.0,HistGradientBoostingClassifier,0.0,0.1,100,31,10,0.7948198663201476,0.010227518805199612,0.9051296031865249,0.0036465647353726956,0.7063164217506787,0.012893977252010663,0.8637529986303999,0.0038345237432952446,0.6408254684148392,0.027790344615326926,0.8536529013722461,0.011202697616281166,0.5177257525083612,0.02291885177125325,0.7755852842809364,0.006135095761820784,0.5724283043865397,0.02109358084663019,0.8127062532933227,0.0064916316867320535,0.8390254910222543,0.007744833705002277,0.9687735175751453,0.0018426901784413944,0.6453509569503515,0.016972296517516642,0.9116619655453381,0.005260515135395178,0.4756965160369873,0.06302371025085449
HistGradientBoosting iter=200 lr=0.1 leaves=15 min_leaf=25 l2=0.0,HistGradientBoostingClassifier,0.0,0.1,200,15,25,0.7973052839948244,0.011634886565388887,0.8793931317329703,0.0036066292531052088,0.7080075350815586,0.015005114460630692,0.8257266600100271,0.005759474914474957,0.6481146396734079,0.030006626803156456,0.8110662164436171,0.010432659610541482,0.5177257525083612,0.02479431838508445,0.711371237458194,0.012518372757333028,0.5754135180698352,0.024469021318363395,0.7578521623337707,0.007815516197563915,0.8373138430717239,0.009202910972797686,0.9504467111710649,0.0015584861799689347,0.6448472367053139,0.022238696456471533,0.8644152817821906,0.0037759075156988758,0.5266066074371338,0.07972240447998047
HistGradientBoosting iter=200 lr=0.1 leaves=15 min_leaf=10 l2=0.0,HistGradientBoostingClassifier,0.0,0.1,200,15,10,0.7980156059643719,0.013763326857674356,0.8901315197556242,0.004004569871564728,0.7123364886403106,0.020317007223777904,0.8398184411644977,0.0065271740411433354,0.6454307998304498,0.032167489799515774,0.8333310537254117,0.009975448671394601,0.5297658862876254,0.03673452901069156,0.7326086956521739,0.01349654767490372,0.5815614151602273,0.032672873250628676,0.7796349657461731,0.008789158192152173,0.8366918237858366,0.008265488651601892,0.9586750684075331,0.0019023254157633056,0.6436648130237479,0.019223255893800858,0.8861389409750157,0.006807786962909374,0.5167040348052978,0.07445311546325684
HistGradientBoosting iter=200 lr=0.1 leaves=31 min_leaf=25 l2=1.0,HistGradientBoostingClassifier,1.0,0.1,200,31,25,0.7921577743770302,0.014183095568291506,0.9277601203609332,0.002774452623241178,0.7025814585498619,0.02031091985865593,0.9002527609453796,0.0064201815594673315,0.6343157391132497,0.03342600960199796,0.8808862614451864,0.004463149873689764,0.5117056856187292,0.03558377546025521,0.8416387959866221,0.014507110631636361,0.5661552260417869,0.032769824256586824,0.860724661370552,0.006552457212248743,0.8310477534355376,0.007792477041576335,0.979813934119653,0.0019012766215149672,0.637736660516096,0.020228282946190227,0.9400295059269475,0.006013324795473267,0.9903446674346924,0.09342799186706544
HistGradientBoosting iter=200 lr=0.1 leaves=31 min_leaf=25 l2=0.0,HistGradientBoostingClassifier,0.0,0.1,200,31,25,0.7923338182288129,0.011294000230427165,0.9443557876744624,0.0018976430447248355,0.7035560561268989,0.01622344298861308,0.9267166829350855,0.003531886151704121,0.6338820571926218,0.02523525560839815,0.9000963857499787,0.008158118408081613,0.51438127090301,0.028013901794477474,0.8891304347826086,0.009168394757105564,0.5677652675850297,0.025706942166941395,0.8945104168232744,0.0036434590631736568,0.8301899359762179,0.007311771085339145,0.9859116105062686,0.0007983558215227612,0.6359524218733207,0.020545979407647345,0.9573359320355543,0.0030323941855553396,0.7972797870635986,0.08660745620727539
HistGradientBoosting iter=200 lr=0.1 leaves=31 min_leaf=10 l2=1.0,HistGradientBoostingClassifier,1.0,0.1,200,31,10,0.7925125413513926,0.013538408983650328,0.9393859379543483,0.004327408987541351,0.7060274024616067,0.018920356759730344,0.915215783542376,0.005751313619165976,0.6320204037362188,0.03098859902019394,0.9036272839673158,0.009016712017044187,0.5217391304347826,0.03186924213932197,0.8637123745819398,0.009220099499725892,0.5714392708624475,0.03039897513468038,0.8832043913382535,0.008385235992196104,0.8319900264354108,0.006162323832844156,0.985313119648348,0.0017919144784413127,0.635537791882062,0.019908360133668562,0.9569519270567808,0.005136779725503101,1.358966588973999,0.10932335853576661
HistGradientBoosting iter=200 lr=0.1 leaves=31 min_leaf=10 l2=0.0,HistGradientBoostingClassifier,0.0,0.1,200,31,10,0.7912698325140545,0.012169622302612515,0.9576236236287474,0.004844233212901044,0.7024046521680715,0.016001241936347062,0.9447732780644813,0.006951197284333815,0.6315835857983727,0.02990717522478607,0.9224661534796261,0.0078018228019921245,0.5130434782608695,0.02647004540121654,0.917391304347826,0.011626584144326916,0.5659721296248811,0.025759487216777854,0.9199092219976318,0.009318545490557982,0.8316285173943072,0.007138331848009674,0.9918575316201238,0.0012090474203005905,0.6351542038740936,0.01396558401899253,0.9761487684914465,0.003529263815192515,0.8867907047271728,0.08115019798278808
