model,family,depth,iterations,l2_leaf_reg,learning_rate,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
CatBoost native iter=200 lr=0.1 depth=4 l2=3,CatBoost native categorical,4,200,3,0.1,0.805114885555736,0.013759122568968258,0.8220181009960056,0.002653071900918117,0.716099760633434,0.017564169682574803,0.737966202570601,0.01028382606971305,0.6691085135042689,0.03451573116015821,0.7092178404197379,0.008075514242948046,0.5264214046822742,0.027949943031138683,0.5588628762541806,0.02706034927077939,0.5890325061718222,0.028735646749744357,0.6245968320171713,0.01474391886405378,0.8493196346130061,0.011554397609579698,0.8732991793419405,0.0025412865723542827,0.6673621396802332,0.01983850500585243,0.7212136339933151,0.006913684672047487,12.683298873901368,0.06809458732604981
CatBoost native iter=200 lr=0.03 depth=3 l2=10,CatBoost native categorical,3,200,10,0.03,0.8061779256455072,0.011085746457526583,0.8105699228785195,0.0025066874179185392,0.7157567524333205,0.014804927017427463,0.7218956213711016,0.0063207784248125376,0.6744815072143302,0.030305949015920576,0.6835084806558912,0.004839511617751916,0.5230769230769231,0.027949943031138683,0.532943143812709,0.015157550760701863,0.5886942966297204,0.023647675532385518,0.5987774468342616,0.009612105753775265,0.8487470907538659,0.011599818381930147,0.8553202105142332,0.002716038332328581,0.6664425289762602,0.0195195615931124,0.6821969330139512,0.005885122501719909,3.3163947105407714,0.020320844650268555
CatBoost native iter=200 lr=0.1 depth=6 l2=10,CatBoost native categorical,6,200,10,0.1,0.8063572791847452,0.014018613779094895,0.83000545931804,0.003914163799702636,0.7171600147744934,0.01601941784425384,0.7494910661745849,0.011219880684392778,0.6739169608618565,0.04005028082464335,0.7258043023163474,0.00647179537507099,0.5270903010033445,0.0257850639028714,0.5779264214046823,0.02732156950673601,0.5910169078256844,0.026238760486493772,0.6430461171372818,0.015669652397941616,0.846893523247233,0.00952085828596724,0.8873590886190762,0.0021258069017501767,0.6654402975574889,0.019569276815680492,0.7447035713935534,0.008273378369893782,6.914525747299194,0.03153948783874512
CatBoost native iter=200 lr=0.03 depth=3 l2=3,CatBoost native categorical,3,200,3,0.03,0.8047583849355636,0.010679469193862371,0.8105698342851866,0.0030867134199929823,0.7126539627591096,0.013223054011575985,0.7215751450268639,0.007825868872439759,0.67290963176705,0.030910238114336422,0.6838963157148125,0.0024660904326335303,0.5163879598662208,0.023893740601326742,0.5319397993311037,0.018005926126953554,0.5839061745252379,0.021482317102502764,0.5982733140857823,0.01203270938389363,0.8484227299205823,0.011408938873132752,0.8553621993502801,0.002512038345589156,0.6649961024184086,0.019399267053589575,0.6817441589149581,0.005222945733525349,3.6585737228393556,0.033697319030761716
CatBoost native iter=200 lr=0.1 depth=6 l2=3,CatBoost native categorical,6,200,3,0.1,0.8022740704900386,0.011955379365527138,0.8367059207318046,0.004686776912990873,0.7101081485735291,0.011715829868124786,0.7593392444820655,0.01233609410786456,0.6669161676182863,0.037890563968180795,0.7395917274361503,0.012077961142794743,0.5137123745819399,0.019340243872643412,0.5944816053511706,0.030414561991678028,0.5797777479189575,0.019475233700291805,0.6585277813088664,0.017307671802897117,0.845755672440195,0.010550544116257974,0.8974350831701526,0.0013435115287943368,0.6605959323113384,0.02155109345221855,0.7635259537130648,0.005984794911076495,6.763579511642456,0.028200531005859376
CatBoost native iter=100 lr=0.03 depth=4 l2=3,CatBoost native categorical,4,100,3,0.03,0.802273912885874,0.007571355347651405,0.8065763323108349,0.003120891089479517,0.6966482165236174,0.007157648855701918,0.7019257165427539,0.006378750882470911,0.686283178658491,0.028613497318243516,0.6973717658648413,0.007171174846159363,0.47157190635451507,0.011965581150500556,0.47892976588628766,0.014153915698661432,0.5587047480395558,0.01258999219344695,0.5677535830641961,0.010668641438343136,0.8442176981489936,0.009459121831899361,0.849958946958826,0.003142509502217656,0.6600235073653538,0.017187309252797496,0.6732759909632318,0.005452851566394173,1.8707671642303467,0.0291107177734375
CatBoost native iter=100 lr=0.03 depth=3 l2=10,CatBoost native categorical,3,100,10,0.03,0.7976578445108833,0.00572368728457471,0.8025826137750034,0.0023006092847820893,0.6845339069683216,0.00656781648898784,0.6917833851352557,0.0059693021777389235,0.6838501815682201,0.023849246455403806,0.6953147478689985,0.0021179161990671014,0.4434782608695652,0.015046450674517719,0.4556856187290969,0.01386044534120543,0.5376460844599334,0.011627314277117141,0.550441880427712,0.010302853352241738,0.8436083611629861,0.009429315982556735,0.8468404332624753,0.0026238411344346995,0.6592097114870743,0.01569688317811027,0.6656170766289621,0.006347370461874753,1.4679858684539795,0.02694673538208008
CatBoost native iter=100 lr=0.03 depth=6 l2=10,CatBoost native categorical,6,100,10,0.03,0.7990784884499789,0.006294367775727478,0.8080405635402211,0.0032168745627462374,0.6946872485067113,0.003738409147214441,0.7075156818521328,0.007760508449496644,0.674229124748491,0.02523742957080265,0.6947607937187624,0.00452838231634466,0.4722408026755853,0.0077430347175854505,0.49331103678929766,0.017784027386147705,0.5551100243859507,0.006612779521001836,0.5767866964640642,0.01257398776179146,0.8429110515278435,0.010196729392051716,0.850604178419591,0.002883909292193099,0.6589969901393659,0.0183619540381312,0.6755916147996711,0.005826731473393421,2.610546588897705,0.02933354377746582
CatBoost native iter=100 lr=0.03 depth=6 l2=3,CatBoost native categorical,6,100,3,0.03,0.8040485357785092,0.008646615870025517,0.8084398930658786,0.003135747766425451,0.7023428334045546,0.005912692104125747,0.7085352477541558,0.00823239965420323,0.6860172467141182,0.032533729593162315,0.6949474783383192,0.0029620361405778457,0.4856187290969899,0.008026755852842805,0.49565217391304345,0.019244578435873988,0.5682480735713401,0.010569538233382716,0.5784177678942177,0.013200275564872278,0.8442397908267439,0.01004490143238662,0.8535364371796097,0.0025598262653765643,0.6589550162430374,0.020354716275393387,0.6804245115053391,0.005737915229461346,3.781700849533081,0.035631418228149414
CatBoost native iter=100 lr=0.03 depth=4 l2=10,CatBoost native categorical,4,100,10,0.03,0.8012085087336349,0.006898557818784412,0.8037807696949375,0.003117357910073773,0.6922911002099794,0.007392036212905946,0.6959638412368443,0.006363815724427979,0.6880830522684654,0.025272804505026596,0.6939189927149322,0.007576030409104854,0.46020066889632105,0.01226107209352735,0.4662207357859532,0.014234688926441754,0.5513111189577173,0.012972825638255837,0.5576012492203681,0.010798931375449286,0.8429269613035612,0.009947772244367178,0.8479073722921813,0.0029886186002530666,0.6580065208292856,0.018029708624649376,0.6696555496558152,0.0041313215620065145,5.212305402755737,0.06506819725036621
CatBoost native iter=100 lr=0.03 depth=3 l2=3,CatBoost native categorical,3,100,3,0.03,0.7997884952111974,0.007247181763086808,0.8019614760751737,0.003664946984024828,0.6896155149256985,0.005142020019999154,0.6920549692415212,0.009153630919474728,0.6862508323603639,0.029198137990602897,0.6915750738403352,0.00535531248755386,0.45484949832775917,0.008460943572356884,0.4578595317725753,0.02121572110656015,0.5467273625257043,0.009204883410537908,0.5506871386622939,0.015776642662355986,0.8435720242199007,0.008882547502798026,0.8477325241671914,0.0027657065075151403,0.6577423597056227,0.01590746911315663,0.6668811259113051,0.005994750010128162,1.5190804958343507,0.031158638000488282
