model,n_estimators,max_depth,min_samples_leaf,max_features,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std
Random forest trees=200 depth=6 leaf=10 max_features=sqrt,200,6.0,10,sqrt,0.800498186764087,0.007753937664113666,0.8138535166335951,0.0026236242700236815,0.6943715268369598,0.009656470449237125,0.71387544387418,0.007325817572738023,0.6809914054020901,0.025789689906662094,0.7124576177553323,0.007486187888006047,0.4682274247491639,0.01782329444076821,0.5008361204013377,0.018379440353222844,0.5546234658216561,0.01670608070785993,0.5879287646426782,0.011819617976735114,0.847383083173674,0.009496755340176327,0.8700571787006949,0.002103352994216315,0.661085940984995,0.01642176489703951,0.7018962681638948,0.005108813477667872
Random forest trees=200 depth=None leaf=10 max_features=sqrt,200,,10,sqrt,0.8042263132761021,0.009378443244212087,0.8372827322341327,0.0028992103867813246,0.7058816795831147,0.010997383993056371,0.7522541362973618,0.0061229042507666455,0.6800668252395322,0.0278441376434148,0.7560294153989775,0.004287917429546712,0.49632107023411376,0.016735780606283338,0.5710702341137124,0.013283529838284631,0.5736780473380313,0.018628790094061102,0.6505818265684584,0.009108258061035499,0.8466086008206503,0.008884888731273745,0.9011461844159563,0.0017118765550872281,0.6608037912230176,0.02027710436065102,0.7681456639149764,0.004640703250879928
Random forest trees=200 depth=6 leaf=10 max_features=log2,200,6.0,10,log2,0.798900080535728,0.008321878731639589,0.8102593343411973,0.0033782835530539253,0.6868741678675436,0.011015635028038843,0.7040050704547671,0.008355361594622338,0.6856005950103794,0.026491296404724817,0.7128947024803545,0.010613080161167295,0.4481605351170569,0.01995509550525258,0.4775919732441471,0.020633039217641713,0.5417544843410587,0.01961769255867178,0.57164001305075,0.013917270084834413,0.8469567657534961,0.009621970736718485,0.867369491588688,0.002214574248697805,0.6600198090582363,0.01509052685111218,0.6962330049451869,0.005201695738176755
Random forest trees=200 depth=6 leaf=1 max_features=log2,200,6.0,1,log2,0.80014326218556,0.009701111566396952,0.8125666984749544,0.003642323528371036,0.6885747174625256,0.012152616915433533,0.7086732908143424,0.009099075053897036,0.6893801857377462,0.03246747092857421,0.7158694748749854,0.00943944542595526,0.45083612040133775,0.021508943399081645,0.4872909698996655,0.021991079234791912,0.5447950663373504,0.021725692869922653,0.5795065766472048,0.015111127377633309,0.8463013156203519,0.009579109854930967,0.8724391818255842,0.00199493116145211,0.6582601054321058,0.015424255634711772,0.7022735534862405,0.004876479377990045
Random forest trees=100 depth=6 leaf=10 max_features=log2,100,6.0,10,log2,0.7983678512721021,0.009124915684321775,0.811634854113359,0.0035454111664553803,0.686725962352901,0.012004711885141397,0.7069707929414705,0.009760016176313528,0.6834496175649517,0.03034537264021086,0.7142336505123064,0.007174531744819798,0.4488294314381271,0.022325510726794166,0.4839464882943144,0.023675055896862328,0.5414401093315442,0.021243490541892313,0.5765683975884318,0.01599838495370465,0.8461892634030752,0.009818870966869524,0.8672714563993498,0.0018799484543613927,0.6577705552894948,0.015432944330571493,0.6961548571699281,0.005320286241630801
Random forest trees=100 depth=6 leaf=1 max_features=log2,100,6.0,1,log2,0.7989003957440572,0.007306540701050702,0.8129218593023688,0.004951872357150847,0.688156949336698,0.008327877834093477,0.7096092811525067,0.010720129145087881,0.6843510845888048,0.02906960235533144,0.7157172918121169,0.010256327368131583,0.4521739130434783,0.018848164285759705,0.4894648829431437,0.024045403970593574,0.543974815461914,0.014567057756992772,0.581014139436575,0.01791092522665723,0.8458771154985636,0.00975653745521389,0.8720107491111635,0.002054225364798633,0.657540610416689,0.014401214605391873,0.7014059044944674,0.004907135013947685
Random forest trees=100 depth=10 leaf=1 max_features=sqrt,100,10.0,1,sqrt,0.8047579121230699,0.008028872462406772,0.8884009572804918,0.0023520018777504832,0.7158582147397141,0.009128716894113237,0.8374122359777061,0.004508654332449106,0.6682982892465688,0.024219303480806885,0.8299857241785217,0.0055131841901966665,0.5264214046822742,0.01700102344767736,0.7287625418060201,0.009873303959281281,0.5886287692035941,0.014913821978615455,0.7760378499230922,0.005683689191241537,0.8419473994310616,0.009178113708274673,0.9611462643435266,0.0009250097597709405,0.656931652129544,0.019996084106899965,0.8859385408509647,0.0035804278424356162
Random forest trees=200 depth=10 leaf=1 max_features=log2,200,10.0,1,log2,0.801918673099018,0.01035238818320153,0.8828985927244399,0.002146340925556368,0.7079436717941527,0.012029733563564397,0.826884050114586,0.003937629501231299,0.6674146995385537,0.03080031196955754,0.8262756373639354,0.006277005675023053,0.5076923076923077,0.020768126683959883,0.7075250836120401,0.008886508532164827,0.5763157752739738,0.019949498382421844,0.7622524810523583,0.005083392044462736,0.8427524045818358,0.008161202156801004,0.958087875404857,0.0010012842368446416,0.6569315787633009,0.019262458848719053,0.8772022890022763,0.004254137337401976
Random forest trees=200 depth=10 leaf=1 max_features=sqrt,200,10.0,1,sqrt,0.8036931383874887,0.00865505178427007,0.887335957139727,0.0019683940499455542,0.7134247594988354,0.01139902217162995,0.8347645487306761,0.004207761023908113,0.6673527066492145,0.02616007135702853,0.8307375823063212,0.005284966122202098,0.5210702341137123,0.02359223021879383,0.722742474916388,0.009773671703145467,0.5847053611497579,0.018090949408481508,0.7729297366434154,0.005096073141215594,0.8424444692952271,0.008514120462329418,0.961477286677313,0.001216050420472393,0.6566828046595145,0.0210572985309367,0.8865470861454628,0.003990287872164655
Random forest trees=100 depth=10 leaf=1 max_features=log2,100,10.0,1,log2,0.8005000780140616,0.011580124373956596,0.8841410945292829,0.0027762028546123446,0.7076186598977199,0.012119962220274548,0.8292786242798881,0.003793540464677954,0.6620545093492989,0.03479324847549536,0.8271331197205252,0.009023628123709706,0.5096989966555183,0.016735780606283338,0.7123745819397993,0.007843504615089342,0.5756885670675458,0.020553132168796198,0.7654255435396398,0.005568645609014366,0.8421599131832445,0.008094594049720535,0.9577458858735648,0.0012493807780719934,0.6566542968497366,0.016074563070991813,0.8761240994117688,0.005602871579986814
Random forest trees=200 depth=None leaf=1 max_features=sqrt,200,,1,sqrt,0.7875421788145329,0.012719708209026867,0.9983138227845908,0.0002261495268416135,0.6900400906420568,0.018195851390394282,0.9975705054130231,0.0002707444413870364,0.6305393093721366,0.031715500742678294,0.9976561991556508,0.0009738511397010359,0.4822742474916388,0.03313569518796209,0.9959866220735785,0.0006256952151795943,0.5461212632007275,0.029642599267867737,0.9968202222123749,0.0004258907193735043,0.8222626174426587,0.012690880654986922,0.9999420987930462,2.5610250485082417e-05,0.6122171404262702,0.031240201264797762,0.9998385642588736,7.690653881739753e-05
Random forest trees=100 depth=None leaf=1 max_features=sqrt,100,,1,sqrt,0.787541863606204,0.011906072275521713,0.9982694473685714,0.00025865979895980647,0.6913219958866875,0.01815330628808896,0.9974868842538205,0.0004255465550433551,0.6290248761391503,0.028893531085921558,0.99765549782483,0.0008176239704663036,0.48628762541806025,0.03453733951418216,0.995819397993311,0.000915924009205983,0.5480797965331522,0.029249372239158532,0.9967360846621751,0.0004883381885649522,0.8215200156935036,0.012266959932223489,0.9999308880721813,2.5126364855457664e-05,0.609786294604898,0.02969548839897289,0.9998105563759274,7.414063102935867e-05
Random forest trees=200 depth=None leaf=1 max_features=log2,200,,1,log2,0.7854116857183834,0.010350802043677797,0.9983138227845908,0.0002261495268416135,0.6841036357925585,0.01467357784008335,0.9975705054130231,0.0002707444413870364,0.628632978111463,0.02695938371567754,0.9976561991556508,0.0009738511397010359,0.4682274247491639,0.026755852842809364,0.9959866220735785,0.0006256952151795943,0.5364055699688378,0.02433961741163132,0.9968202222123749,0.0004258907193735043,0.8190921030367363,0.011755119031345698,0.9999441191242582,2.4075702441592542e-05,0.6077550481378481,0.0312150112330225,0.9998439806792424,7.1279306358616e-05
Random forest trees=100 depth=None leaf=1 max_features=log2,100,,1,log2,0.7827483329419497,0.0072389624198191975,0.9982694473685714,0.00025865979895980647,0.6831452820701546,0.008570157351450863,0.9974334745694705,0.00036734246038094473,0.6194918968301923,0.019411924761524427,0.99782272096514,0.0010021286238633394,0.47090301003344487,0.013934894084280698,0.9956521739130435,0.000819227338723484,0.5349555063417947,0.014178691494555284,0.9967356641495704,0.00048768967490807807,0.8170859532886172,0.010589523352208129,0.9999347265291675,2.4404262372757928e-05,0.6034253662395874,0.02870429600340376,0.999821808614783,6.850304127067774e-05
