model,family,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,fit_time_mean,score_time_mean
XGBoost trees=200 lr=0.03 depth=3 child=5 sub=1.0 col=0.8,XGBoost,0.8,0.03,3,5,200,1.0,1.0,0.8049356896206625,0.007093277205561713,0.8175365383513646,0.003433619068295795,0.7129876807325417,0.010691718020558776,0.7294145580293204,0.007471861261099328,0.6724617288824581,0.019175705176951524,0.7025970434345823,0.005711790654626883,0.5170568561872909,0.021425575087688234,0.541638795986622,0.016641946895819024,0.5843510313371653,0.017237775320025545,0.6115781857366114,0.011401602293418122,0.8492823110625973,0.01142062430368724,0.8695111197128632,0.00249519884602212,0.6698257161521506,0.022544122664876647,0.7089261429044293,0.005335953158363308,0.20495939254760742,0.07221465110778809
XGBoost trees=200 lr=0.03 depth=4 child=5 sub=0.8 col=0.8,XGBoost,0.8,0.03,4,5,200,1.0,0.8,0.8044039331695302,0.012322454233595069,0.8267219344688899,0.003351865715269931,0.7149757892423894,0.015855944880054797,0.746241499344381,0.006955394962717423,0.6676375375414357,0.031436591396216455,0.7161601976814865,0.004914511000304917,0.5244147157190635,0.0255059210233279,0.5747491638795987,0.014962584253021776,0.5872236821110557,0.025830775969230904,0.6376244652563883,0.01023394646559599,0.8492590105235053,0.010680114576953509,0.884979624682113,0.0022529477503139624,0.6697009431924177,0.020550609474198824,0.7390630038329856,0.004169483299665593,0.20732955932617186,0.05094685554504395
XGBoost trees=200 lr=0.03 depth=4 child=1 sub=1.0 col=1.0,XGBoost,1.0,0.03,4,1,200,1.0,1.0,0.804048693382674,0.009707423240425391,0.8269438607675058,0.004473860629592084,0.7147342433486695,0.013881068192620626,0.7469266718002815,0.00900283193166796,0.6665024530842455,0.025312009585126142,0.7159996152431645,0.0071802895727100195,0.5244147157190635,0.026198202043566723,0.5764214046822742,0.01923149627824423,0.5866509173381689,0.022143828212150295,0.6385319510126352,0.01321966045502982,0.8487914006563303,0.010845759470685647,0.8870976886217221,0.002262361405717587,0.6696904663272945,0.023221793669085704,0.7407965430103463,0.005235692218017906,0.16597337722778321,0.0495966911315918
XGBoost trees=100 lr=0.03 depth=4 child=1 sub=0.8 col=1.0,XGBoost,1.0,0.03,4,1,100,1.0,0.8,0.8045807650421354,0.00841197583943162,0.8194889680628912,0.0026691048767332197,0.7084730686775795,0.010056573699455963,0.7297819961748171,0.00659486233228617,0.6775716317821582,0.024035573219836685,0.7111555707914476,0.006624916271855061,0.5036789297658862,0.01562986146561594,0.538628762541806,0.016051769693667502,0.5776949230092099,0.016878722282258913,0.612814966228685,0.009858200965735725,0.8493621256413754,0.010044258429886753,0.8756603299471589,0.00225674075515448,0.6696747070257354,0.01965165441301184,0.7176003036251991,0.004893135231179259,0.13156404495239257,0.061805105209350585
XGBoost trees=200 lr=0.03 depth=4 child=5 sub=0.8 col=1.0,XGBoost,1.0,0.03,4,5,200,1.0,0.8,0.8042264708802666,0.013233896580352025,0.8278755771609537,0.003059030234872391,0.7159231002890641,0.01851539685608736,0.7482551833348092,0.0063383943494303326,0.6652948587749872,0.03127745725409575,0.7179688684045014,0.004440141027685725,0.5277591973244148,0.031402527342623394,0.5785953177257526,0.013636711062123845,0.5883912091679798,0.0297744390897086,0.6407198743284118,0.009275587086341854,0.8487754972300658,0.010488021025065518,0.8860680388290486,0.0021517389073592045,0.6695637045437082,0.019186573477119107,0.7410827200051388,0.0043595634786899075,0.18553032875061035,0.04538097381591797
XGBoost trees=200 lr=0.03 depth=4 child=5 sub=1.0 col=0.8,XGBoost,0.8,0.03,4,5,200,1.0,1.0,0.8058234738794738,0.009245404155548923,0.8264557508786983,0.00407881857414421,0.7172238780618991,0.014134845972836135,0.7457933006214098,0.00764918114899851,0.6702914622070754,0.02297549482111407,0.7157612856274133,0.008145131493930521,0.5284280936454849,0.027498066610159803,0.5739130434782609,0.016192265467438408,0.5906365080447897,0.022492362053949572,0.636924920835653,0.01141656719408014,0.8492993456683475,0.011132114584968933,0.8833193697211479,0.003014908347006389,0.6694196553016647,0.022037316715550367,0.7352939638164047,0.006863732470675077,0.17970852851867675,0.052412986755371094
XGBoost trees=100 lr=0.03 depth=4 child=1 sub=1.0 col=0.8,XGBoost,0.8,0.03,4,1,100,1.0,1.0,0.8026291526727303,0.008656697304857783,0.8183796318809211,0.0031961533856004515,0.7037260549181584,0.011842698534365785,0.7265700006094344,0.00836853975134165,0.6758039018121698,0.02421847079607954,0.7115214161539758,0.006322465688090495,0.49297658862876254,0.021003770525896436,0.5309364548494984,0.020143388189167933,0.5698941736440706,0.02014597602647764,0.6078550958073998,0.012748637512123887,0.8496844189950551,0.01054277880219201,0.8741656286909507,0.0024643279631083675,0.669382751875342,0.019757086681662848,0.7134600990926832,0.005456948081591617,0.16347579956054686,0.059531545639038085
XGBoost trees=200 lr=0.03 depth=4 child=1 sub=0.8 col=0.8,XGBoost,0.8,0.03,4,1,200,1.0,0.8,0.8045815530629581,0.011566614642007752,0.827431891906684,0.002859686078450536,0.7165921426475551,0.015901777362507512,0.7469918036968088,0.005913893333829441,0.6660854258316619,0.028745225377941573,0.7181707061983532,0.0060195400028184,0.5290969899665552,0.027530589467901892,0.5755852842809365,0.013300360418159315,0.5894979372515291,0.025615076095209664,0.6389305989558534,0.008622225386942548,0.8489381599609311,0.010520556340588908,0.8884335530230455,0.0019374434777747656,0.6692480057267511,0.019410878205734353,0.7433142845722768,0.0043801020156392775,0.2862268924713135,0.068017578125
XGBoost trees=100 lr=0.1 depth=2 child=5 sub=1.0 col=0.8,XGBoost,0.8,0.1,2,5,100,1.0,1.0,0.8049361624331561,0.010768816141593163,0.8148741118272296,0.0028965145069366443,0.7144836993031094,0.013600451556004606,0.7273888782546518,0.00588262634127142,0.6706630804100279,0.0291568481438984,0.6939421536519639,0.006198747866623049,0.5217391304347825,0.02258453915201889,0.5409698996655518,0.01318845762751193,0.5866559937789126,0.022232798261558977,0.6078903832003492,0.008945500998125352,0.8499027874313885,0.011832840914690928,0.8636937243326273,0.002920862409575859,0.6691590110074556,0.01977011905537338,0.6984381048794926,0.005158831248613255,0.08763594627380371,0.05184488296508789
XGBoost trees=100 lr=0.1 depth=3 child=1 sub=0.8 col=0.8,XGBoost,0.8,0.1,3,1,100,1.0,0.8,0.8068890356358777,0.01258582838536576,0.8245032522612463,0.002959125368674146,0.718590417608608,0.017377321378580557,0.7428621246745615,0.005321090259946984,0.6733300007249674,0.0335767326295178,0.7118920068302531,0.00661976752974855,0.5304347826086956,0.03184115113153685,0.568896321070234,0.011287315739589437,0.5929077873644366,0.02783233816119761,0.6323517909670077,0.008016637723103735,0.8481096891852854,0.01114310303933531,0.8798746776930713,0.0023965815878177524,0.6691542482450374,0.019663206618709538,0.7294581699224686,0.004895118331575569,0.10619301795959472,0.04894695281982422
